true_emotion,predicted_emotion,scenario,subject,qid
Delight,Disappointment,"Dorea was trying to cook a Baklava. When she took it out of the oven, the Baklava was ruined as the bread was not crispy, and the filling was bursting all over the pan. At that moment, her daughter came home and noticed her mom's fresh yet ruined Baklava. She tasted it and gave a thumbs-up to her mother.",Dorea,1
Delight,Disappointment,"Simon, an amateur painter, had been working on a portrait of his deceased pet for over a week. After he finally completed it, he stepped back and immediately noticed that he had painted the wrong color for his pet's fur. Just then, his wife saw it and exclaimed, ""That's exactly how I remember him!""",Simon,2
Gratitude,Embarrassment,"After weeks of hard work and determination, Andy was finally able to open his art exhibition and display his portraits. While he invited all of the people at work, none of them showed up. As he was packing up to leave, his boss showed up, pointed to his painting, and praised his skills.",Andy,3
Amusement,Nervousness,"On his way to work, Andre was stuck in traffic when a person started shouting at him for being a bad driver. Once he came out of the car to confront that person, he realized it was his dad.",Andre,6
Delight,Pride,"Liam, a teenager often overlooked by his parents, found pride in keeping a flawless academic record. His parents told him they'd be skipping his awards ceremony for his younger brother's baseball game. With a crushing feeling in his heart, he climbed the stage alone. As he looked into the audience, he saw his parents sitting in the front row, smiling and clapping for him.",Liam,9
Delight,Disappointment,"Joe's biggest hobby is taking pictures of birds. He had been trying to spot a rare type of bird, called the bluebird, for months. After numerous attempts, he finally spotted one sitting on a tree branch and was delighted. So, he sat down and prepared his camera to take the photo, but as he wanted to take the picture, the bird flew away. As Joe was staying there staring at the empty branch, the bird flew back.",Joe,10
Admiration,Disappointment,"After waiting for almost two hours for his date, Roger was considering leaving when he heard a familiar voice behind him. It was his date, Jessica, who frantically apologized for being late and explained she had been helping a family stuck on the highway.",Roger,14
Disappointment,Disappointment,"James and I are coworkers. We've been best friends for over a decade. Our boss gives out an employee of the year award every year. This year, we both applied as candidates for this reward and worked hard to get it. The results were announced yesterday. My friend won the award. When we found out, he smiled at first but didn't celebrate.",I,16
Sadness,Sadness,"James and I are coworkers. We've been best friends for over a decade. Our boss gives out an employee of the year award every year. This year, we both applied as candidates for this reward and worked hard to get it. The results were announced yesterday. My friend won the award. When we found out, he smiled at first but didn't celebrate.",James,17
Relief,Disappointment,"I had a math exam yesterday. The night before, I had studied all the material I could get my hands on and did many practice tests. But when it came to the actual exam, I had forgotten many of the things that I had reviewed. After the exam was over, I felt so bad I thought I would fail even though I studied really hard. The results came out today. I passed with a low mark, so I will ask the teacher if I can get a higher grade.",I,18
